,winner,reward,num_actions,last_states
153,Leotris,69,522,"tensor([[ 0.4219, -0.0105,  0.8000,  0.1000,  0.8000,  0.3000,  0.0000,  1.0000,
          0.3480]])"
154,Leotris,71,1017,"tensor([[ 0.2656, -0.0105,  0.8000,  0.1000,  0.7000,  0.3000,  0.0000,  1.0000,
          0.6780]])"
155,Leotris,76,1271,"tensor([[ 0.7188, -0.0105,  0.8000,  0.1000,  0.6000,  0.1000,  0.0000,  1.0000,
          0.8473]])"
156,Leotris,74,746,"tensor([[ 0.4531, -0.0105,  0.8000,  0.1000,  0.6000,  0.2000,  0.0000,  1.0000,
          0.4973]])"
157,Leotris,73,692,"tensor([[ 0.5781, -0.0105,  0.8000,  0.1000,  0.6000,  0.1000,  0.0000,  1.0000,
          0.4613]])"
158,Strahd,-35,614,"tensor([[-0.0156,  0.0842,  0.8000,  0.1000,  0.8000,  0.2000,  0.0000,  1.0000,
          0.4093]])"
159,Leotris,69,235,"tensor([[ 0.0156, -0.0105,  0.6000,  0.1000,  0.7000,  0.3000,  0.0000,  1.0000,
          0.1567]])"
160,Leotris,68,495,"tensor([[ 0.4219, -0.0105,  0.5000,  0.1000,  0.3000,  0.1000,  0.0000,  1.0000,
          0.3300]])"
161,Leotris,74,506,"tensor([[ 0.7188, -0.0105,  0.5000,  0.1000,  0.7000,  0.1000,  0.0000,  1.0000,
          0.3373]])"
162,Leotris,70,463,"tensor([[ 0.2969, -0.0105,  0.5000,  0.1000,  0.4000,  0.3000,  0.0000,  1.0000,
          0.3087]])"
163,Leotris,73,408,"tensor([[ 0.4375, -0.0105,  0.5000,  0.1000,  0.5000,  0.3000,  0.0000,  1.0000,
          0.2720]])"
164,Leotris,72,406,"tensor([[ 0.5781, -0.0105,  0.5000,  0.1000,  0.6000,  0.3000,  0.0000,  1.0000,
          0.2707]])"
165,Leotris,79,526,"tensor([[ 0.7656, -0.0105,  0.5000,  0.1000,  0.6000,  0.3000,  0.0000,  1.0000,
          0.3507]])"
166,Leotris,71,502,"tensor([[ 0.1562, -0.0105,  0.5000,  0.1000,  0.4000,  0.3000,  0.0000,  1.0000,
          0.3347]])"
167,Leotris,77,501,"tensor([[ 0.6875, -0.0105,  0.5000,  0.1000,  0.7000,  0.1000,  0.0000,  1.0000,
          0.3340]])"
168,Leotris,71,405,"tensor([[ 0.4531, -0.0105,  0.4000,  0.1000,  0.2000,  0.2000,  0.0000,  1.0000,
          0.2700]])"
169,Leotris,75,428,"tensor([[ 0.5312, -0.0105,  0.4000,  0.1000,  0.6000,  0.1000,  0.0000,  1.0000,
          0.2853]])"
170,Leotris,70,305,"tensor([[ 0.4062, -0.0105,  0.4000,  0.1000,  0.6000,  0.1000,  0.0000,  1.0000,
          0.2033]])"
171,Leotris,73,579,"tensor([[ 0.6094, -0.0105,  0.4000,  0.1000,  0.3000,  0.3000,  0.0000,  1.0000,
          0.3860]])"
172,Leotris,73,280,"tensor([[ 0.6094, -0.0105,  0.4000,  0.2000,  0.6000,  0.2000,  0.0000,  1.0000,
          0.1867]])"
173,Leotris,70,181,"tensor([[ 0.3906, -0.0105,  0.4000,  0.2000,  0.3000,  0.4000,  0.0000,  1.0000,
          0.1207]])"
174,Leotris,69,311,"tensor([[ 0.2656, -0.0105,  0.4000,  0.2000,  0.6000,  0.2000,  0.0000,  1.0000,
          0.2073]])"
175,Leotris,72,316,"tensor([[ 0.5625, -0.0105,  0.4000,  0.3000,  0.6000,  0.4000,  0.0000,  1.0000,
          0.2107]])"
176,Leotris,77,135,"tensor([[ 0.9062, -0.0105,  0.4000,  0.3000,  0.6000,  0.2000,  0.0000,  1.0000,
          0.0900]])"
177,Leotris,73,247,"tensor([[ 0.4062, -0.0105,  0.4000,  0.3000,  0.2000,  0.4000,  0.0000,  1.0000,
          0.1647]])"
178,Leotris,69,109,"tensor([[ 0.5938, -0.0105,  0.4000,  0.3000,  0.6000,  0.3000,  0.0000,  1.0000,
          0.0727]])"
179,Leotris,75,222,"tensor([[ 0.7500, -0.0105,  0.4000,  0.2000,  0.4000,  0.4000,  0.0000,  1.0000,
          0.1480]])"
180,Leotris,74,502,"tensor([[ 0.6250, -0.0105,  0.6000,  0.2000,  0.5000,  0.4000,  0.0000,  1.0000,
          0.3347]])"
181,Leotris,71,534,"tensor([[ 0.2969, -0.0105,  0.7000,  0.2000,  0.5000,  0.1000,  0.0000,  1.0000,
          0.3560]])"
182,Leotris,73,311,"tensor([[ 0.3125, -0.0105,  0.6000,  0.2000,  0.4000,  0.3000,  0.0000,  1.0000,
          0.2073]])"
